Broad ID,Barcode,Well,Plate,Concentration (mM),Volume (ul),Volume Remaining (uL),MW,DATE_ALIQUOT
BRD-A28941094-001-01-5,1154023441,A01,Plate_01,10,20,-1,519.28,3/26/18
BRD-K36288416-300-01-6,1153788789,B01,Plate_01,10,20,-1,356.07,1/17/18
BRD-K11628317-001-01-6,1153788801,C01,Plate_01,10,20,-1,370.05,1/17/18
BRD-K35461360-001-02-8,1136930577,D01,Plate_01,10,10,-1,355.05,4/12/18
BRD-K73155786-001-01-7,1153836076,E01,Plate_01,10,15,-1,510.19,1/25/18
BRD-K70956591-001-01-6,1154022114,F01,Plate_01,10,15,-1,327.12,4/26/18
BRD-K77334603-001-01-5,1136942837,G01,Plate_01,10,15,-1,371.09,3/1/18
BRD-K90200239-001-01-3,1154026351,H01,Plate_01,10,40,-1,456.14,6/20/18
BRD-K96095271-001-01-0,1154023442,A02,Plate_01,10,20,-1,354.06,3/26/18
BRD-K98394821-001-01-0,1153786498,B02,Plate_01,10,20,-1,292.11,1/17/18
BRD-K63835789-001-01-3,1153785322,C02,Plate_01,10,20,-1,368.07,1/17/18
BRD-K96095271-001-01-0,1136930574,D02,Plate_01,10,10,-1,354.06,4/12/18
BRD-K62890549-001-01-0,1153832416,E02,Plate_01,10,15,-1,470.15,1/25/18
BRD-K68260529-001-01-4,1154022113,F02,Plate_01,10,15,-1,330.13,4/26/18
BRD-K23780629-001-01-4,1136942838,G02,Plate_01,10,15,-1,411.12,3/1/18
BRD-K19298871-001-03-4,1154022602,H02,Plate_01,10,40,-1,577.19,5/14/18
BRD-K78913487-001-01-6,1154023443,A03,Plate_01,10,20,-1,482.15,3/26/18
BRD-K03745002-001-02-6,1154022762,B03,Plate_01,10,25,-1,480.14,5/30/18
BRD-K59543386-001-01-6,1153785309,C03,Plate_01,10,20,-1,266.1,1/17/18
BRD-K80481655-001-01-6,1136930572,D03,Plate_01,10,10,-1,383.09,4/12/18
BRD-K77334603-001-01-5,1154023489,E03,Plate_01,10,20,-1,371.09,3/27/18
BRD-K81106261-001-01-4,1154022781,F03,Plate_01,10,60,-1,496.17,5/29/18
BRD-K90200239-001-01-3,1154022611,G03,Plate_01,10,40,-1,456.14,5/14/18
BRD-K33082319-001-03-4,1154022603,H03,Plate_01,10,40,-1,331.05,5/14/18
BRD-K56880680-001-01-8,1154023444,A04,Plate_01,10,20,-1,383.09,3/26/18
BRD-K76055770-001-01-4,1136931069,B04,Plate_01,10,10,-1,354.06,4/18/18
BRD-K76055770-001-01-4,1129674063,C04,Plate_01,100,20,-1,354.06,11/28/17
BRD-K78913487-001-01-6,1153835500,D04,Plate_01,10,15,-1,482.15,1/25/18
BRD-K13477759-001-01-1,1154023490,E04,Plate_01,10,20,-1,369.07,3/27/18
BRD-K64112518-001-01-4,1154023437,F04,Plate_01,10,50,-1,484.17,3/23/18
BRD-K59164829-001-01-6,1154022610,G04,Plate_01,10,40,-1,529.19,5/14/18
BRD-K86665170-001-01-4,1154022463,H04,Plate_01,10,15,-1,333.07,5/22/18
BRD-K62890549-001-01-0,1154023445,A05,Plate_01,10,20,-1,470.15,3/26/18
BRD-K11628317-001-01-6,1136931065,B05,Plate_01,10,10,-1,370.05,4/18/18
BRD-K02577557-001-01-5,1136930560,C05,Plate_01,10,10,-1,355.05,4/12/18
BRD-K18123439-001-01-4,1153835489,D05,Plate_01,10,15,-1,369.07,1/25/18
BRD-K16193334-001-01-5,1154022775,E05,Plate_01,10,25,-1,317.11,5/30/18
BRD-K66467881-001-02-7,1154023436,F05,Plate_01,10,50,-1,442.12,3/23/18
BRD-K45449623-001-01-6,1154022609,G05,Plate_01,10,40,-1,496.17,5/14/18
BRD-A45753972-001-01-0,1154022462,H05,Plate_01,10,15,-1,413.13,5/22/18
BRD-K73155786-001-01-7,1154023446,A06,Plate_01,10,20,-1,510.19,3/26/18
